Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Литвин,Євген,Трохимович,male,1953-06-24,Модель,хутір Кролевець,"сквер Якутська, буд. 17 кв. 6, Новояворівськ, 24718",+380 (73) 281-78-71,tsymbaliukolena@example.net
Шахрай,Богданна,Петрівна,female,1977-05-21,Хореограф,селище Мостиська,"шосе Товарний, буд. 92, Привілля, 06837",+380 98 463-12-84,ovyshniak@example.org
Парасюк,Павло,Альбертович,male,1942-11-03,Конструктор,селище Мена ,"набережна Ланжерон, буд. 8, Чернівці, 21801",071 154 79 71,trokhymrudko@example.com
Тимчук,Панас,Макарович,male,1972-12-01,Електротехнік,село Бровари,"проспект Юннатів 1-й, буд. 49 кв. 85, Білогірськ, 11996",003 226-46-88,levchenkoiryna@example.net
Кибкало,Ярослава,Юстимівна,female,1975-09-01,Географ,село Рожище,"набережна Квітнева, буд. 84, Сарни, 07547",+380 93 516 33 88,oksanaiemets@example.com
Чуйко,Нестор,Богодарович,male,1948-09-11,Скульптор,місто Балта,"проспект Академіка Гаркавого, буд. 002 кв. 30, Дубляни, 76543",+380 03 671 85 83,pylypbezditko@example.net
Ісаєнко,Спас,Віталійович,male,1980-01-27,Стоматолог,село Гірське,"вулиця Водний, буд. 37 кв. 40, Дрогобич, 33497",923-06-71,boryslavbarabash@example.org
Гаврилець,Лесь,Яремович,male,1958-01-28,Ботанік,село Бобровиця,"проспект Садова 5-та, буд. 8 кв. 274, Великі Мости, 32193",+380 (51) 043-81-65,ualeksandrenko@example.com
Міщенко,Яків,Єфремович,male,2000-10-07,Антрополог,село Біла Церква,"шосе Сортувальна 1-ша, буд. 4 кв. 63, Прип'ять , 09524",+380 74 500 34 36,lchernenko@example.org
Гаврюшенко,Валентина,Юстимівна,female,1995-08-15,Стропальник,місто Бобринець,"шосе Трудових резервів, буд. 4 кв. 0, Жовква, 87485",036 922-82-12,ashynkarenko@example.com
Бандурка,Віталій,Кирилович,male,1981-01-03,Акушер,місто Залізне,"парк Лиманчик 2-й Лінія 1-ша, буд. 063 кв. 6, Зугрес, 31912",079 119-45-77,varfolomii59@example.org
Швачка,Марина,Євгенівна,female,1993-06-12,Художник,місто Горлівка,"парк Гвоздичний, буд. 880, Таврійськ, 30790",+380 72 348-66-84,rostyslav69@example.net
Гриценко,Марта,Прохорівна,female,1971-06-27,Психолог,місто Балаклія,"площа Поїзна, буд. 36, Керч, 53628",+380 01 706 61 16,oryna85@example.net
Шутько,Онисим,Назарович,male,1948-12-11,Різноробочий,місто Трускавець,"парк Розумовський 1-й, буд. 8 кв. 9, Рівне, 13841",047 033-64-71,venedyktartiushenko@example.org
Дашкевич,Сніжана,Стефанівна,female,1942-03-08,Психолог,село Генічеськ,"сквер Люстдорфський, буд. 9 кв. 5, Олександрія, 97929",079 949-19-62,omelian05@example.com
Талан,Галина,Климентівна,female,1969-06-08,Археолог,село Волноваха,"узвіз Республіканська, буд. 8 кв. 968, Роздільна, 23950",094 104 93 76,bohuslava59@example.com
Запорожець,Ілля,Захарович,male,1970-01-03,Бізнесмен,місто Жовква,"провулок Яблочкіної, буд. 440, Світлодарськ, 35340",809 84 33,borys35@example.net
Гавришкевич,Ілля,Августинович,male,1963-08-15,Фермер,хутір Дніпрорудне,"сквер Військовий узвіз, буд. 6 кв. 9, Березань , 88453",+380 81 970 78 20,hordiimasokha@example.net
Яремчук,Аліна,Миколаївна,female,2004-03-27,Фермер,селище Кілія,"вулиця Юрія Яновського, буд. 20, Богодухів, 06690",+380 44 718 26 94,onysym53@example.com
Баштан,Олена,Амвросійовна,female,1964-04-16,Електромонтер,хутір Південне ,"узвіз Сергія Уточкіна, буд. 679 кв. 6, Гайсин, 16517",+380 12 696-91-42,holoborodkoparmen@example.org
Архимович,Ганна,Демʼянівна,female,2000-12-02,Пілот,селище Галич,"сквер Дубова, буд. 7 кв. 39, Зеленодольськ, 48813",057 372 26 97,dankooles@example.net
Бабій,Клавдія,Ігорівна,female,1939-05-15,Письменник,місто Українськ,"проспект Інглезі, буд. 3, Глухів, 20972",+380 (50) 893-80-36,panteleimon69@example.net
Сімашкевич,Устим,Стефанович,male,1958-01-10,Реставратор,селище Трускавець,"набережна Велика Садова, буд. 635, Оріхів, 76871",446 67 25,shcherbakmariana@example.com
Шахрай,Марко,Васильович,male,1951-07-13,Льотчик,селище Могилів-Подільський,"сквер 11-та Суворовська, буд. 33 кв. 4, Чортків, 94870",+380 94 153-27-53,czabashta@example.net
